PLAYERID,LASTNAME,FIRSTNAME,TEAM,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,TOUCH,QUALITY,ARM_STRENGTH,SCRAMBLE,DECISIONS,ACCURACY,TIMING,SENSE_RUSH,READ_DEFENSE,TWO_MINUTE,FOOTWORK,IMPROVISATION,CONFIDENCE,SKILL_SPEED,HOLE_RECOGNITION,SECURE_HANDLING,BASE_YEAR
500,Johnson,Josh,1,17,746,90,303,203,5,15,1961,Oakland_CA,1715,San Diego,224,1983,0,0,0,0,8,1998,2,0,1,48,4,0,0,0,0,0,0,0,0,0,-1,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
501,Huntley,Tyler,1,2,73,0,0,205,2,3,1973,Hollywood_FL,2750,Utah,57,1995,0,0,0,1,3,1995,25,100,1,62,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
502,Jackson,Lamar,1,8,742,94,331,216,1,17,1972,Pompano Beach_FL,2905,Louisville,24,1993,1,32,0,1,5,1993,66,600,5,175,342,332,423,490,528,1212,528,1212,528,4,-1,-1,-1,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
503,Cunningham,Malik,2,16,717,94,313,192,10,6,1973,Montgomery_AL,374,Louisville,24,1998,0,0,0,2,0,1998,0,0,3,17,1,24,1,32,1,0,0,0,0,0,-1,-1,-1,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
504,Zappe,Bailey,2,4,724,96,313,215,4,26,1974,Victoria_TX,18598,Western Kentucky,128,1997,4,137,0,2,1,1997,19,0,3,22,4,34,4,46,4,0,0,0,0,1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
505,Corral,Matt,2,19,735,95,306,212,1,31,1974,Ventura_CA,2018,Mississippi,30,1997,0,0,0,0,1,1998,0,0,3,24,0,36,0,53,0,0,0,0,0,1,-1,-1,-1,162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
506,Jones,Mac,2,10,745,96,325,217,9,5,1973,Jacksonville_FL,2767,Alabama,1,1996,1,15,0,2,2,1996,79,0,2,49,51,65,51,0,0,0,0,0,0,2,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
507,DeVito,Tommy,3,5,725,0,0,206,8,7,1973,Livingston_NJ,12246,Illinois,16,1998,0,0,0,3,0,1998,0,0,3,17,0,24,0,32,0,0,0,0,0,0,-1,-1,-1,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
508,Taylor,Tyrod,3,2,726,100,322,215,8,3,1964,Hampton_VA,19081,Virginia Tech,60,1986,6,180,0,1,12,1997,3,0,1,128,33,0,0,0,0,0,0,0,0,1,-1,-1,-1,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
509,Jones,Daniel,3,8,771,96,324,221,5,27,1972,Charlotte_NC,10832,Duke,11,1994,1,6,0,3,4,1994,91,100,4,297,210,839,210,711,210,1107,210,0,0,2,-1,-1,-1,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1998
