PLAYERID,LASTNAME,FIRSTNAME,TEAM,UNIFORM,HEIGHT,HANDSIZE,ARMLENGTH,WEIGHT,BIRTHMONTH,BIRTHDAY,BIRTHYEAR,BIRTHCITY,CITYID,COLLEGE,COLLEGEID,YEARENTRY,ROUNDDRAFTED,SELECTIONDRAFTED,SUPPLEMENTAL,ORIGINALTEAM,EXPERIENCE,YEARSIGNED,PLAYPERCENTAGE,HALLOFFAMEPOINTS,SALARYYEARS,SALARYYEAR1,BONUSYEAR1,SALARYYEAR2,BONUSYEAR2,SALARYYEAR3,BONUSYEAR3,SALARYYEAR4,BONUSYEAR4,SALARYYEAR5,BONUSYEAR5,OVERALLRATING,TOUCH,QUALITY,ARM_STRENGTH,SCRAMBLE,DECISIONS,ACCURACY,TIMING,SENSE_RUSH,READ_DEFENSE,TWO_MINUTE,FOOTWORK,IMPROVISATION,CONFIDENCE,SKILL_SPEED,HOLE_RECOGNITION,SECURE_HANDLING
501,Rodgers,Aaron,20,8,740,101,322,224,12,2,1983,Chico_CA,1289,California,8,2005,1,24,0,11,18,2023,98,5000,3,189,700,316,1400,3750,1400,0,0,0,0,3,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
502,Johnson,Josh,3,17,746,90,303,203,5,15,1986,Oakland_CA,1715,San Diego,224,2008,5,160,0,28,8,2023,2,0,1,117,15,0,0,0,0,0,0,0,0,0,-1,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
503,Hoyer,Brian,21,7,740,94,320,215,10,13,1985,North Olmsted_OH,14460,Michigan State,28,2009,0,0,0,17,14,2023,1,0,2,120,44,233,44,0,0,0,0,0,0,1,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
504,Stafford,Matthew,27,9,742,100,332,230,2,7,1988,Tampa_FL,2957,Georgia,14,2009,1,1,0,10,14,2021,52,1600,4,150,1850,3100,1850,3200,1850,3100,1850,0,0,3,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
505,McCoy,Colt,0,-1,731,93,310,214,9,5,1986,Hobbs_NM,12582,Texas,52,2010,3,85,0,31,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
506,Dalton,Andy,5,14,740,94,316,215,10,29,1987,Katy_TX,18105,Texas Christian,54,2011,2,35,0,7,12,2023,70,100,2,117,97,400,97,0,0,0,0,0,0,1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
507,Gabbert,Blaine,14,9,763,100,330,234,10,15,1989,Ballwin_MO,9605,Missouri,32,2011,1,10,0,13,12,2023,1,0,1,117,15,0,0,0,0,0,0,0,0,0,-1,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
508,Taylor,Tyrod,19,2,726,100,322,215,8,3,1989,Hampton_VA,19081,Virginia Tech,60,2011,6,180,0,3,12,2022,3,0,1,550,140,0,0,0,0,0,0,0,0,1,-1,-1,-1,173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
509,Cousins,Kirk,16,8,745,97,316,211,8,19,1988,Barrington_IL,4440,Michigan State,28,2012,4,102,0,30,11,2018,95,1000,1,1000,1025,0,0,0,0,0,0,0,0,4,-1,-1,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
510,Keenum,Case,32,18,725,91,307,209,2,17,1988,Brownwood_TX,17739,Houston,92,2012,0,0,0,32,10,2023,2,0,2,247,38,300,38,0,0,0,0,0,0,1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
511,Tannehill,Ryan,29,17,757,90,325,221,7,27,1988,Lubbock_TX,18196,Texas A&M,53,2012,1,8,0,15,11,2019,66,300,1,2700,960,0,0,0,0,0,0,0,0,2,-1,-1,-1,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
512,Wilson,Russell,9,3,705,102,310,205,11,29,1988,Cincinnati_OH,14086,Wisconsin,65,2012,3,75,0,25,11,2022,84,1800,5,800,1400,1700,1840,3700,1840,4000,1840,4500,840,3,-1,-1,-1,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
513,Barkley,Matt,0,-1,744,101,305,227,9,8,1990,Newport Beach_CA,1693,Southern California,48,2013,4,98,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
514,Smith,Geno,25,7,743,92,324,218,10,10,1990,Miami_FL,2830,West Virginia,64,2013,2,39,0,20,10,2019,100,100,3,140,870,2250,870,2500,870,0,0,0,0,3,-1,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
515,Bridgewater,Teddy,10,10,741,92,330,214,11,10,1992,Miami_FL,2830,Louisville,24,2014,1,32,0,16,9,2023,14,100,1,214,50,0,0,0,0,0,0,0,0,1,-1,-1,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
516,Carr,Derek,18,4,743,91,314,214,3,28,1991,Bakersfield_CA,1188,Fresno State,88,2014,2,36,0,21,9,2023,86,500,4,150,570,3000,570,3000,570,3000,570,0,0,3,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
517,Garoppolo,Jimmy,21,10,742,92,310,225,11,2,1991,Arlington Heights_IL,4416,Eastern Illinois,160,2014,2,62,0,17,9,2023,56,600,3,2380,0,2425,0,2425,0,0,0,0,0,3,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
518,Heinicke,Taylor,2,4,723,92,290,201,3,15,1993,Atlanta_GA,3023,Old Dominion,111,2015,0,0,0,16,6,2023,52,0,2,370,200,700,200,0,0,0,0,0,0,1,-1,-1,-1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
519,Mariota,Marcus,22,8,756,97,320,222,10,30,1993,Honolulu_HI,3529,Oregon,41,2015,1,2,0,29,8,2023,74,100,1,117,77,0,0,0,0,0,0,0,0,1,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
520,Siemian,Trevor,0,-1,747,97,305,213,12,26,1991,Starke_FL,2949,Northwestern,36,2015,7,250,0,9,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
521,Winston,Jameis,18,2,756,93,320,231,1,6,1994,Bessemer_AL,132,Florida State,13,2015,1,1,0,28,8,2020,18,100,1,117,337,0,0,0,0,0,0,0,0,1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
522,Allen,Brandon,26,17,733,87,312,212,9,5,1992,Fayetteville_AR,655,Arkansas,4,2016,6,201,0,13,4,2023,2,0,1,123,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
523,Brissett,Jacoby,30,12,756,96,322,236,12,11,1992,West Palm Beach_FL,2980,North Carolina State,35,2016,3,91,0,17,7,2023,67,100,1,400,450,0,0,0,0,0,0,0,0,2,-1,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
524,Driskel,Jeff,1,19,760,96,334,234,4,23,1993,Oviedo_FL,2878,Louisiana Tech,97,2016,6,207,0,26,7,2023,9,0,1,117,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
525,Goff,Jared,10,16,760,90,326,215,10,14,1994,Novato_CA,1708,California,8,2016,1,1,0,27,7,2021,99,600,2,2598,500,2665,500,0,0,0,0,0,0,5,-1,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
526,Prescott,Dak,8,4,742,107,322,226,7,29,1993,Sulphur_LA,7140,Mississippi State,31,2016,4,135,0,8,7,2016,71,500,2,170,2513,3400,2546,0,0,0,0,0,0,5,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
527,Sudfeld,Nate,10,7,781,97,342,236,10,7,1993,Modesto_CA,1655,Indiana,17,2016,6,187,0,30,6,2023,1,0,1,117,44,0,0,0,0,0,0,0,0,0,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
528,Wentz,Carson,0,-1,772,100,332,237,12,30,1992,Raleigh_NC,11173,North Dakota State,206,2016,1,2,0,22,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
529,Beathard,C.J.,13,3,741,93,305,219,11,16,1993,Nashville_TN,17445,Iowa,18,2017,3,104,0,26,6,2021,3,0,2,158,50,192,50,0,0,0,0,0,0,1,-1,-1,-1,105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
530,Dobbs,Joshua,1,9,752,92,325,216,1,26,1995,Alpharetta_GA,3010,Tennessee,51,2017,4,135,0,23,5,2023,14,0,1,150,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
531,Kizer,DeShone,0,-1,761,97,331,233,1,3,1996,Toledo_OH,14647,Notre Dame,37,2017,2,52,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,-1,-1,133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
532,Mahomes,Patrick,14,15,741,92,332,225,9,17,1995,Tyler_TX,18585,Texas Tech,55,2017,1,10,0,14,6,2017,98,1500,5,3095,874,3795,874,4195,674,4195,240,5995,240,8,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
533,Mullens,Nick,16,12,727,91,302,199,3,21,1995,Little Rock_AR,750,Southern Mississippi,118,2017,0,0,0,26,5,2022,5,0,2,135,38,190,38,0,0,0,0,0,0,1,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
534,Peterman,Nathan,6,14,745,97,320,225,5,4,1994,Jacksonville_FL,2767,Pittsburgh,44,2017,5,171,0,4,6,2022,5,0,1,108,15,0,0,0,0,0,0,0,0,0,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
