AREAID,NAME,LATITUDE,LONGITUDE
0,No Area,0,0
101,Alberta,52695,-113775
102,British Columbia,50559,-121959
103,Manitoba,50708,-98491
104,New Brunswick,46603,-66032
105,Newfoundland and Labrador,48669,-55513
106,Nova Scotia,44957,-63803
107,Northwest Territories,64149,-123247
108,Nunavut,66726,-85800
109,Ontario,44576,-79788
110,Prince Edward Island,46404,-63429
111,Québec,46475,-72611
112,Saskatchewan,51798,-105484
113,Yukon Territories,61317,-135038
151,North East,54859,-1522
152,North West,53632,-2591
153,Yorkshire and the Humber,53725,-1256
154,East Midlands,52894,-1067
155,West Midlands,52523,-2001
156,East,52045,372
157,London,51510,-110
158,South East,51218,-468
159,South West,51004,-3026
160,Wales,52041,-3476
161,Scotland,56278,-3586
162,Northern Ireland,54639,-6302
1001,Autauga County,32532,-86646
1003,Baldwin County,30659,-87746
1005,Barbour County,31870,-85405
1007,Bibb County,33016,-87127
1009,Blount County,33977,-86566
1011,Bullock County,32102,-85717
1013,Butler County,31752,-86682
1015,Calhoun County,33771,-85828
1017,Chambers County,32916,-85394
1019,Cherokee County,34070,-85654
1021,Chilton County,32854,-86727
1023,Choctaw County,31991,-88249
1025,Clarke County,31686,-87819
1027,Clay County,33270,-85864
1029,Cleburne County,33672,-85516
1031,Coffee County,31402,-85990
1033,Colbert County,34703,-87801
1035,Conecuh County,31431,-86989
1037,Coosa County,32931,-86243
1039,Covington County,31244,-86449
1041,Crenshaw County,31730,-86320
1043,Cullman County,34132,-86869
1045,Dale County,31431,-85609
1047,Dallas County,32334,-87114
1049,DeKalb County,34461,-85804
1051,Elmore County,32597,-86143
1053,Escambia County,31122,-87168
1055,Etowah County,34048,-86034
1057,Fayette County,33716,-87764
1059,Franklin County,34442,-87843
1061,Geneva County,31092,-85821
1063,Greene County,32844,-87964
1065,Hale County,32753,-87623
1067,Henry County,31517,-85240
1069,Houston County,31158,-85296
1071,Jackson County,34764,-85980
1073,Jefferson County,33553,-86897
1075,Lamar County,33787,-88087
1077,Lauderdale County,34904,-87651
1079,Lawrence County,34530,-87322
1081,Lee County,32604,-85353
1083,Limestone County,34810,-86981
1085,Lowndes County,32148,-86651
1087,Macon County,32387,-85693
1089,Madison County,34764,-86551
1091,Marengo County,32248,-87791
1093,Marion County,34138,-87882
1095,Marshall County,34310,-86322
1097,Mobile County,30685,-88197
1099,Monroe County,31580,-87383
1101,Montgomery County,32203,-86204
1103,Morgan County,34454,-86846
1105,Perry County,32639,-87294
1107,Pickens County,33297,-88097
1109,Pike County,31799,-85942
1111,Randolph County,33296,-85464
1113,Russell County,32290,-85187
1115,St. Clair County,33719,-86311
1117,Shelby County,33263,-86678
1119,Sumter County,32597,-88200
1121,Talladega County,33369,-86176
1123,Tallapoosa County,32863,-85800
1125,Tuscaloosa County,33290,-87523
1127,Walker County,33792,-87301
1129,Washington County,31409,-88212
1131,Wilcox County,31990,-87305
1133,Winston County,34155,-87365
2013,Aleutians East Borough,55245,-161997
2016,Aleutians West Census Area,51959,178339
2020,Anchorage Municipality,61174,-149284
2050,Bethel Census Area,60929,-160153
2060,Bristol Bay Borough,58742,-156967
2063,Chugach Census Area,60488,-146203
2066,Copper River Census Area,62034,-143922
2068,Denali Borough,63682,-150027
2070,Dillingham Census Area,59543,-158267
2090,Fairbanks North Star Borough,64676,-146548
2100,Haines Borough,59098,-135576
2105,Hoonah-Angoon Census Area,58403,-135885
2110,Juneau City and Borough,58373,-134178
2122,Kenai Peninsula Borough,60361,-152053
2130,Ketchikan Gateway Borough,55450,-131107
2150,Kodiak Island Borough,57704,-153918
2158,Kusilvak Census Area,62284,-163190
2164,Lake and Peninsula Borough,58109,-156413
2170,Matanuska-Susitna Borough,62266,-149504
2180,Nome Census Area,64784,-164189
2185,North Slope Borough,69449,-153473
2188,Northwest Arctic Borough,67005,-160021
2195,Petersburg Borough,57112,-133009
2198,Prince of Wales-Hyder Census Area,55683,-133162
2220,Sitka City and Borough,57193,-135367
2230,Skagway Municipality,59560,-135338
2240,Southeast Fairbanks Census Area,63865,-143219
2275,Wrangell City and Borough,56181,-132027
2282,Yakutat City and Borough,60017,-140417
2290,Yukon-Koyukuk Census Area,65376,-151578
4001,Apache County,35385,-109490
4003,Cochise County,31840,-109775
4005,Coconino County,35830,-111774
4007,Gila County,33790,-110812
4009,Graham County,32932,-109878
4011,Greenlee County,33239,-109242
4012,La Paz County,33728,-114039
4013,Maricopa County,33345,-112499
4015,Mohave County,35718,-113750
4017,Navajo County,35391,-110321
4019,Pima County,32128,-111784
4021,Pinal County,32919,-111366
4023,Santa Cruz County,31526,-110845
4025,Yavapai County,34631,-112577
4027,Yuma County,32774,-113911
5001,Arkansas County,34290,-91377
5003,Ashley County,33191,-91772
5005,Baxter County,36280,-92330
5007,Benton County,36338,-94256
5009,Boone County,36304,-93079
5011,Bradley County,33467,-92169
5013,Calhoun County,33560,-92514
5015,Carroll County,36337,-93541
5017,Chicot County,33267,-91297
5019,Clark County,34053,-93176
5021,Clay County,36367,-90419
