CITYID,NAME,RCODE,REGION,CCODE,COUNTRY,AREA,POPULATION,INCOME,LATITUDE,LONGITUDE,METROAREA,ISHOST,ISHOME,CLOSEST,TVAREA,DISTTV
0,Another Country,0,ZZ,0,ZZ,0,0,0,0,0,0,0,0,0,0,0
1,Akiachak,2,AK,1,US,2050,573,47500,60903,-161422,0,0,0,29,29,427
2,Akutan,2,AK,1,US,2013,731,49167,54117,-165831,0,0,0,29,29,860
3,Alakanuk,2,AK,1,US,2158,813,36250,62711,-164645,0,0,0,29,29,516
4,Anchor Point,2,AK,1,US,2122,2599,75938,59900,-151570,0,0,0,29,29,201
5,Anchorage,2,AK,1,US,2170,255455,99914,62654,-150285,29,1,1,29,29,0
6,Angoon,2,AK,1,US,2105,510,43750,57436,-134227,0,0,0,430,430,67
7,Aniak,2,AK,1,US,2050,700,47679,61420,-156044,0,0,0,29,29,227
8,Barrow,2,AK,1,US,2185,4457,88750,71254,-156800,0,0,0,277,277,523
9,Bethel,2,AK,1,US,2050,7857,72222,60814,-161851,0,0,0,29,29,444
10,Big Lake,2,AK,1,US,2170,3079,67604,61530,-149981,0,0,0,29,29,81
11,Buckland,2,AK,1,US,2188,675,43750,65976,-161139,0,0,0,29,29,445
12,Chevak,2,AK,1,US,2158,1037,40833,61531,-165597,0,0,0,29,29,563
13,Chugiak,2,AK,1,US,2020,8843,118165,61299,-149021,29,1,0,29,29,107
14,Copper Center,2,AK,1,US,2261,527,86875,61712,-145952,0,0,0,29,29,171
15,Cordova,2,AK,1,US,2261,2903,110353,60894,-145109,0,0,0,29,29,227
16,Craig,2,AK,1,US,2198,1976,57500,55407,-132766,0,0,0,443,443,69
17,Delta Junction,2,AK,1,US,2240,4597,87159,63780,-145098,0,0,0,277,277,129
18,Denali National Park,2,AK,1,US,2068,883,105714,63785,-148521,0,0,0,277,29,102
19,Dillingham,2,AK,1,US,2070,2499,75417,60261,-159093,0,0,0,29,29,367
20,Douglas,2,AK,1,US,2110,2259,99844,58265,-134400,430,1,0,430,430,12
21,Eagle River,2,AK,1,US,2020,28462,129220,61201,-149248,29,1,0,29,29,110
22,Eek,2,AK,1,US,2050,549,49000,60214,-162030,0,0,0,29,29,467
23,Eielson Air Force Base,2,AK,1,US,2090,3267,73357,64651,-147052,277,1,0,277,277,41
24,Emmonak,2,AK,1,US,2158,866,40089,62785,-164566,0,0,0,29,29,513
25,Fairbanks,2,AK,1,US,2090,62590,93450,65213,-147376,277,1,1,277,277,0
26,Fort Wainwright,2,AK,1,US,2090,9117,54934,64833,-147623,277,1,0,277,277,28
27,Fort Yukon,2,AK,1,US,2290,561,50208,67875,-144597,0,0,0,277,277,210
28,Gambell,2,AK,1,US,2180,591,44500,63777,-171726,0,0,0,29,29,767
29,Girdwood,2,AK,1,US,2020,1742,165641,60966,-148877,29,1,0,29,29,130
30,Glennallen,2,AK,1,US,2170,906,80000,62402,-146946,0,0,0,29,29,122
31,Haines,2,AK,1,US,2100,2590,80948,59099,-135577,0,0,0,430,430,75
32,Healy,2,AK,1,US,2068,990,105750,63681,-150027,0,0,0,29,29,74
33,Homer,2,AK,1,US,2122,10597,83106,59539,-151187,0,0,0,29,29,224
34,Hoonah,2,AK,1,US,2105,808,64750,58104,-135400,0,0,0,430,430,52
35,Hooper Bay,2,AK,1,US,2158,1141,36346,61536,-166123,0,0,0,29,29,582
36,Houston,2,AK,1,US,2170,1495,66000,61624,-149785,0,0,0,29,29,75
37,Juneau,2,AK,1,US,2110,29968,109500,58373,-134178,430,1,1,430,430,0
38,Kake,2,AK,1,US,2198,585,51250,56771,-134090,0,0,0,430,430,114
39,Kasigluk,2,AK,1,US,2050,543,45625,60864,-162538,0,0,0,29,29,467
40,Kasilof,2,AK,1,US,2122,2101,81116,60265,-150611,0,0,0,29,29,170
41,Kenai,2,AK,1,US,2122,15366,84821,60600,-151106,0,0,0,29,29,149
42,Ketchikan,2,AK,1,US,2130,13822,90684,55540,-131105,443,0,0,443,443,0
43,King Cove,2,AK,1,US,2013,1147,74444,55059,-162274,0,0,0,29,29,713
44,Kipnuk,2,AK,1,US,2050,511,40833,59936,-164062,0,0,0,29,29,545
45,Kivalina,2,AK,1,US,2188,683,55208,67729,-164543,0,0,0,277,277,595
46,Klawock,2,AK,1,US,2198,908,77000,55550,-132946,0,0,0,443,443,76
47,Kodiak,2,AK,1,US,2150,12839,98827,57650,-153261,0,0,0,29,29,373
48,Kotlik,2,AK,1,US,2158,853,33750,63029,-163536,0,0,0,29,29,476
49,Kotzebue,2,AK,1,US,2188,3372,82639,67263,-161919,0,0,0,277,277,505
50,Kwethluk,2,AK,1,US,2050,613,47000,60793,-161431,0,0,0,29,29,430
51,Manokotak,2,AK,1,US,2070,733,44375,58957,-159212,0,0,0,29,29,425
52,Metlakatla,2,AK,1,US,2198,1654,70455,55138,-131470,0,0,0,443,443,32
53,Mountain Village,2,AK,1,US,2158,784,35500,62112,-163664,0,0,0,29,29,486
54,Nenana,2,AK,1,US,2068,504,73750,64251,-148128,0,0,0,277,277,73
55,New Stuyahok,2,AK,1,US,2070,546,42750,59488,-157291,0,0,0,29,29,344
56,Ninilchik,2,AK,1,US,2122,1111,75625,60062,-151406,0,0,0,29,29,189
57,Nome,2,AK,1,US,2180,4346,88512,64744,-164659,0,0,0,29,29,527
58,Noorvik,2,AK,1,US,2188,623,48750,66828,-161029,0,0,0,277,277,471
59,North Pole,2,AK,1,US,2090,23131,94720,64762,-147314,277,1,0,277,277,32
60,Nunapitchuk,2,AK,1,US,2050,990,43750,60882,-162464,0,0,0,29,29,464
61,Palmer,2,AK,1,US,2170,30540,93800,61624,-148980,0,0,0,29,29,87
62,Petersburg,2,AK,1,US,2195,3257,83125,56927,-133120,0,0,0,430,430,111
63,Pilot Station,2,AK,1,US,2158,573,30000,61947,-162878,0,0,0,29,29,459
64,Point Hope,2,AK,1,US,2185,636,62813,68703,-164807,0,0,0,277,277,622
65,Prudhoe Bay,2,AK,1,US,2185,1314,25000,70428,-149288,0,0,0,277,277,375
66,Quinhagak,2,AK,1,US,2050,876,45500,59741,-161887,0,0,0,29,29,477
67,Saint Mary's,2,AK,1,US,2158,902,41667,62092,-163254,0,0,0,29,29,471
68,Salcha,2,AK,1,US,2090,1160,64769,64385,-146554,277,1,0,277,277,65
69,Sand Point,2,AK,1,US,2013,1309,82292,55247,-160685,0,0,0,29,29,663
70,Savoonga,2,AK,1,US,2180,975,46250,63680,-170481,0,0,0,29,29,723
71,Scammon Bay,2,AK,1,US,2158,605,28750,61792,-165962,0,0,0,29,29,573
72,Selawik,2,AK,1,US,2188,792,32344,66746,-159511,0,0,0,277,277,420
73,Seward,2,AK,1,US,2122,4309,95547,60076,-149493,0,0,0,29,29,185
74,Sitka,2,AK,1,US,2220,8640,91935,57000,-135077,0,0,0,430,430,104
