SCHEDULEID,TEAMS,DIVISIONS,PLAYOFFTEAMS,GAMES,WEEKS,EXGAMES,EXWEEKS,CONF1,CONF1ABBR,CONF2,CONF2ABBR,DIV1,DIV1TEAMS,DIV2,DIV2TEAMS,DIV3,DIV3TEAMS,DIV4,DIV4TEAMS,DIV5,DIV5TEAMS,DIV6,DIV6TEAMS,DIV7,DIV7TEAMS,DIV8,DIV8TEAMS,CHAMPIONSHIP,SALARYCAP,MINIMUM,SALARY1,SALARY2,SALARY3,SALARY45,SALARY789,SALARY10,ROTATIONS,ROTATIONBASE
32_8_18,32,8,14,18,19,2,3,AFC,AFC,NFC,NFC,East,4,North,4,South,4,West,4,East,4,North,4,South,4,West,4,Front Office Bowl,2248,75,87,94,101,108,117,117,12,2002
32_8_17,32,8,14,17,18,3,4,AFC,AFC,NFC,NFC,East,4,North,4,South,4,West,4,East,4,North,4,South,4,West,4,Front Office Bowl,2248,75,87,94,101,108,117,117,12,2002
32_8_16,32,8,12,16,17,4,5,AFC,AFC,NFC,NFC,East,4,North,4,South,4,West,4,East,4,North,4,South,4,West,4,Front Office Bowl,2248,75,87,94,101,108,117,117,12,2002
31_6_16,31,6,12,16,17,4,5,AFC,AFC,NFC,NFC,East,5,North,6,West,5,East,5,North,5,West,5,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,6,1998
30_6_16,30,6,12,16,17,4,5,AFC,AFC,NFC,NFC,East,5,North,5,West,5,East,5,North,5,West,5,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,1994
28_6_16,28,6,10,16,17,4,5,AFC,AFC,NFC,NFC,East,5,North,4,West,5,East,5,North,5,West,4,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,1991
26_6_14,26,6,8,14,14,6,6,AFC,AFC,NFC,NFC,East,5,North,4,West,4,East,5,North,4,West,4,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,6,1970
24_8_18,24,8,12,18,20,2,2,AFC,AFC,NFC,NFC,East,3,North,3,South,3,West,3,East,3,North,3,South,3,West,3,Front Office Bowl,2248,75,87,94,101,108,117,117,4,2000
24_6_16,24,6,10,16,17,4,5,AFC,AFC,NFC,NFC,East,4,North,4,South,4,West,4,East,4,North,4,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,2000
22_4_18,22,4,8,18,20,2,2,AFC,AFC,NFC,NFC,East,6,West,5,East,6,West,5,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,2000
20_4_16,20,4,8,16,17,4,5,AFC,AFC,NFC,NFC,East,5,South,5,North,5,West,5,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,4,2000
18_4_14,18,4,6,14,16,4,5,AFC,AFC,NFC,NFC,South,5,North,4,East,5,West,4,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,4,2000
16_2_17,16,2,4,17,18,3,4,AFC,AFC,NFC,NFC,North,8,South,8,,0,,0,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,2000
16_4_16,16,4,4,16,17,4,5,AFC,AFC,NFC,NFC,East,4,West,4,East,4,West,4,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,4,2000
12_2_16,12,2,2,16,17,4,5,AFC,AFC,NFC,NFC,East,6,West,6,,0,,0,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,2000
10_2_18,10,2,2,17,18,3,4,AFC,AFC,NFC,NFC,North,5,South,5,,0,,0,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,3,2000
9_2_18,9,2,4,18,21,2,3,NFC,NFC,AFC,AFC,West,5,East,4,,0,,0,,0,,0,,0,,0,Front Office Bowl,2248,75,87,94,101,108,117,117,4,2000
